cond,n_scored,delta_dat,cohens_d,u_stat,p_value
identity|all|0.00,19,14.600590145528159,2.0868280544661624,368.0,6.122278994147902e-07
no_affine|all|0.00,20,-18.25699109406699,-2.308651875642691,32.0,5.873574095711034e-06
no_mean|all|0.00,20,1.453493421985982,0.15397095695596116,227.0,0.4734806277722057
no_mean|early|0.00,20,-4.268600259508403,-0.39185096300059696,158.5,0.2673397110110195
no_mean|late|0.00,20,3.8910022236051844,0.46295434190062745,245.0,0.22869435423745565
no_mean|mid|0.00,20,-4.481053536846531,-0.40792183202268295,162.5,0.3168296331245506
weakened_a|all|0.25,19,14.600590145528159,2.0868280544661624,368.0,6.122278994147902e-07
weakened_a|all|0.50,19,14.600590145528159,2.0868280544661624,368.0,6.122278994147902e-07
weakened_a|all|0.75,20,-20.46333718867529,-2.5964197442043813,27.0,3.069100921857103e-06
weakened_a|early|0.50,20,-22.83114436126892,-3.3163823079338646,19.0,1.0472741665207472e-06
weakened_a|late|0.50,20,-20.776537784508292,-2.6077370030703295,25.0,2.355659136230732e-06
weakened_a|mid|0.50,0,,,,
