model,recipe,target,alpha,nll,ppl
EleutherAI/pythia-410m,stock,all,0.0,2.7244045734405518,15.247332572937012
EleutherAI/pythia-410m,no_mean,all,0.0,2.757676839828491,15.763179779052734
EleutherAI/pythia-410m,no_affine,all,0.0,4.163730144500732,64.31096649169922
EleutherAI/pythia-410m,weakened_a,all,0.75,11.936381340026855,152723.03125
EleutherAI/pythia-410m,weakened_a,all,0.5,7.3112664222717285,1497.0718994140625
EleutherAI/pythia-410m,weakened_a,all,0.25,8.596463203430176,5412.48291015625
EleutherAI/pythia-410m,identity,all,0.0,8.489289283752441,4862.4091796875
EleutherAI/pythia-410m,no_mean,early,0.0,2.7179343700408936,15.14899730682373
EleutherAI/pythia-410m,no_mean,mid,0.0,2.7179133892059326,15.148679733276367
EleutherAI/pythia-410m,no_mean,late,0.0,2.7661848068237305,15.89786434173584
EleutherAI/pythia-410m,weakened_a,early,0.5,7.713327407836914,2237.9765625
EleutherAI/pythia-410m,weakened_a,mid,0.5,11.232718467712402,75562.734375
EleutherAI/pythia-410m,weakened_a,late,0.5,11.454706192016602,94344.3046875
gpt2-medium,stock,all,0.0,2.8129420280456543,16.658857345581055
gpt2-medium,no_mean,all,0.0,3.1180038452148438,22.601219177246094
gpt2-medium,no_affine,all,0.0,9.817100524902344,18344.783203125
gpt2-medium,weakened_a,all,0.75,,inf
gpt2-medium,weakened_a,all,0.5,,inf
gpt2-medium,weakened_a,all,0.25,,inf
gpt2-medium,identity,all,0.0,,inf
gpt2-medium,no_mean,early,0.0,2.917144536972046,18.488418579101562
gpt2-medium,no_mean,mid,0.0,2.9388749599456787,18.894577026367188
gpt2-medium,no_mean,late,0.0,2.814913034439087,16.69172477722168
gpt2-medium,weakened_a,early,0.5,10.237269401550293,27924.76953125
gpt2-medium,weakened_a,mid,0.5,14.394214630126953,1783725.375
gpt2-medium,weakened_a,late,0.5,10.210169792175293,27178.181640625
gpt2,stock,all,0.0,3.1930503845214844,24.362628936767578
gpt2,no_mean,all,0.0,3.306461811065674,27.288402557373047
gpt2,no_affine,all,0.0,8.019869804382324,3040.781494140625
gpt2,weakened_a,all,0.75,9.119318962097168,9129.9814453125
gpt2,weakened_a,all,0.5,,inf
gpt2,weakened_a,all,0.25,,inf
gpt2,identity,all,0.0,,inf
gpt2,no_mean,early,0.0,3.1857259273529053,24.184839248657227
gpt2,no_mean,mid,0.0,3.2606041431427,26.065279006958008
gpt2,no_mean,late,0.0,3.237539052963257,25.470962524414062
gpt2,weakened_a,early,0.5,7.528061866760254,1859.498046875
gpt2,weakened_a,mid,0.5,9.878108978271484,19498.814453125
gpt2,weakened_a,late,0.5,9.184926986694336,9749.068359375
